package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[0].u_pad
P2,south,2,mgmt_clk,input,P65_1233_PBMUX,mgmt_clk_i,u_mgmt_clk_pad
P3,south,3,GPIO,inout,P65_1233_PBMUX,gpio[0],u_gpio_pads[0].u_pad
P4,south,4,GPIO,inout,P65_1233_PBMUX,gpio[1],u_gpio_pads[1].u_pad
P5,south,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[0].u_pad
P6,south,6,GPIO,inout,P65_1233_PBMUX,gpio[2],u_gpio_pads[2].u_pad
P7,south,7,GPIO,inout,P65_1233_PBMUX,gpio[3],u_gpio_pads[3].u_pad
P8,south,8,GPIO,inout,P65_1233_PBMUX,gpio[4],u_gpio_pads[4].u_pad
P9,south,9,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[0].u_pad
P10,south,10,GPIO,inout,P65_1233_PBMUX,gpio[5],u_gpio_pads[5].u_pad
P11,south,11,GPIO,inout,P65_1233_PBMUX,gpio[6],u_gpio_pads[6].u_pad
P12,south,12,GPIO,inout,P65_1233_PBMUX,gpio[7],u_gpio_pads[7].u_pad
P13,south,13,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[0].u_pad
P14,south,14,GPIO,inout,P65_1233_PBMUX,gpio[8],u_gpio_pads[8].u_pad
P15,south,15,mgmt_rst_n,input,P65_1233_PBMUX,mgmt_rst_n_i,u_mgmt_rst_n_pad
P16,south,16,GPIO,inout,P65_1233_PBMUX,gpio[9],u_gpio_pads[9].u_pad
P17,east,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[1].u_pad
P18,east,2,jtag_tck,input,P65_1233_PBMUX,jtag_tck_i,u_jtag_tck_pad
P19,east,3,GPIO,inout,P65_1233_PBMUX,gpio[10],u_gpio_pads[10].u_pad
P20,east,4,GPIO,inout,P65_1233_PBMUX,gpio[11],u_gpio_pads[11].u_pad
P21,east,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[1].u_pad
P22,east,6,GPIO,inout,P65_1233_PBMUX,gpio[12],u_gpio_pads[12].u_pad
P23,east,7,GPIO,inout,P65_1233_PBMUX,gpio[13],u_gpio_pads[13].u_pad
P24,east,8,GPIO,inout,P65_1233_PBMUX,gpio[14],u_gpio_pads[14].u_pad
P25,east,9,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[1].u_pad
P26,east,10,GPIO,inout,P65_1233_PBMUX,gpio[15],u_gpio_pads[15].u_pad
P27,east,11,GPIO,inout,P65_1233_PBMUX,gpio[16],u_gpio_pads[16].u_pad
P28,east,12,GPIO,inout,P65_1233_PBMUX,gpio[17],u_gpio_pads[17].u_pad
P29,east,13,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[1].u_pad
P30,east,14,GPIO,inout,P65_1233_PBMUX,gpio[18],u_gpio_pads[18].u_pad
P31,east,15,jtag_tms,input,P65_1233_PBMUX,jtag_tms_i,u_jtag_tms_pad
P32,east,16,GPIO,inout,P65_1233_PBMUX,gpio[19],u_gpio_pads[19].u_pad
P33,north,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[2].u_pad
P34,north,2,jtag_tdi,input,P65_1233_PBMUX,jtag_tdi_i,u_jtag_tdi_pad
P35,north,3,GPIO,inout,P65_1233_PBMUX,gpio[20],u_gpio_pads[20].u_pad
P36,north,4,GPIO,inout,P65_1233_PBMUX,gpio[21],u_gpio_pads[21].u_pad
P37,north,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[2].u_pad
P38,north,6,GPIO,inout,P65_1233_PBMUX,gpio[22],u_gpio_pads[22].u_pad
P39,north,7,GPIO,inout,P65_1233_PBMUX,gpio[23],u_gpio_pads[23].u_pad
P40,north,8,GPIO,inout,P65_1233_PBMUX,gpio[24],u_gpio_pads[24].u_pad
P41,north,9,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[2].u_pad
P42,north,10,GPIO,inout,P65_1233_PBMUX,gpio[25],u_gpio_pads[25].u_pad
P43,north,11,GPIO,inout,P65_1233_PBMUX,gpio[26],u_gpio_pads[26].u_pad
P44,north,12,GPIO,inout,P65_1233_PBMUX,gpio[27],u_gpio_pads[27].u_pad
P45,north,13,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[2].u_pad
P46,north,14,GPIO,inout,P65_1233_PBMUX,gpio[28],u_gpio_pads[28].u_pad
P47,north,15,jtag_tdo,output,P65_1233_PBMUX,jtag_tdo_o,u_jtag_tdo_pad
P48,north,16,GPIO,inout,P65_1233_PBMUX,gpio[29],u_gpio_pads[29].u_pad
P49,west,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[3].u_pad
P50,west,2,uart_rx,input,P65_1233_PBMUX,uart_rx_i,u_uart_rx_pad
P51,west,3,GPIO,inout,P65_1233_PBMUX,gpio[30],u_gpio_pads[30].u_pad
P52,west,4,GPIO,inout,P65_1233_PBMUX,gpio[31],u_gpio_pads[31].u_pad
P53,west,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[3].u_pad
P54,west,6,GPIO,inout,P65_1233_PBMUX,gpio[32],u_gpio_pads[32].u_pad
P55,west,7,GPIO,inout,P65_1233_PBMUX,gpio[33],u_gpio_pads[33].u_pad
P56,west,8,GPIO,inout,P65_1233_PBMUX,gpio[34],u_gpio_pads[34].u_pad
P57,west,9,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[3].u_pad
P58,west,10,GPIO,inout,P65_1233_PBMUX,gpio[35],u_gpio_pads[35].u_pad
P59,west,11,GPIO,inout,P65_1233_PBMUX,gpio[36],u_gpio_pads[36].u_pad
P60,west,12,GPIO,inout,P65_1233_PBMUX,gpio[37],u_gpio_pads[37].u_pad
P61,west,13,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[3].u_pad
P62,west,14,GPIO,inout,P65_1233_PBMUX,gpio[38],u_gpio_pads[38].u_pad
