package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[0].u_cell.u_pad
P2,south,2,mgmt_clk,input,PB4,mgmt_clk_i,u_base.u_mgmt_clk_pad.u_pad
P3,south,3,GPIO,inout,PB4,gpio[0],u_base.u_gpio_pads[0].u_cell.u_pad
P4,south,4,GPIO,inout,PB4,gpio[1],u_base.u_gpio_pads[1].u_cell.u_pad
P5,south,5,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[0].u_cell.u_pad
P6,south,6,GPIO,inout,PB4,gpio[2],u_base.u_gpio_pads[2].u_cell.u_pad
P7,south,7,GPIO,inout,PB4,gpio[3],u_base.u_gpio_pads[3].u_cell.u_pad
P8,south,8,GPIO,inout,PB4,gpio[4],u_base.u_gpio_pads[4].u_cell.u_pad
P9,south,9,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[0].u_cell.u_pad
P10,south,10,GPIO,inout,PB4,gpio[5],u_base.u_gpio_pads[5].u_cell.u_pad
P11,south,11,GPIO,inout,PB4,gpio[6],u_base.u_gpio_pads[6].u_cell.u_pad
P12,south,12,GPIO,inout,PB4,gpio[7],u_base.u_gpio_pads[7].u_cell.u_pad
P13,south,13,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[0].u_cell.u_pad
P14,south,14,GPIO,inout,PB4,gpio[8],u_base.u_gpio_pads[8].u_cell.u_pad
P15,south,15,GPIO,inout,PB4,gpio[9],u_base.u_gpio_pads[9].u_cell.u_pad
P16,south,16,GPIO,inout,PB4,gpio[10],u_base.u_gpio_pads[10].u_cell.u_pad
P17,south,17,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[1].u_cell.u_pad
P18,south,18,GPIO,inout,PB4,gpio[11],u_base.u_gpio_pads[11].u_cell.u_pad
P19,south,19,GPIO,inout,PB4,gpio[12],u_base.u_gpio_pads[12].u_cell.u_pad
P20,south,20,mgmt_rst_n,input,PB4,mgmt_rst_n_i,u_base.u_mgmt_rst_n_pad.u_pad
P21,south,21,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[1].u_cell.u_pad
P22,south,22,GPIO,inout,PB4,gpio[13],u_base.u_gpio_pads[13].u_cell.u_pad
P23,east,1,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[1].u_cell.u_pad
P24,east,2,jtag_tck,input,PB4,jtag_tck_i,u_base.u_jtag_tck_pad.u_pad
P25,east,3,PLL_AVSS,ground,PVSS1CAP,pll_avss,u_pll_avss_pad.u_pad
P26,east,4,PLL_AVDD,power,PVDD1CAP,pll_avdd,u_pll_avdd_pad.u_pad
P27,east,5,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[1].u_cell.u_pad
P28,east,6,GPIO,inout,PB4,gpio[14],u_base.u_gpio_pads[14].u_cell.u_pad
P29,east,7,GPIO,inout,PB4,gpio[15],u_base.u_gpio_pads[15].u_cell.u_pad
P30,east,8,GPIO,inout,PB4,gpio[16],u_base.u_gpio_pads[16].u_cell.u_pad
P31,east,9,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[2].u_cell.u_pad
P32,east,10,GPIO,inout,PB4,gpio[17],u_base.u_gpio_pads[17].u_cell.u_pad
P33,east,11,GPIO,inout,PB4,gpio[18],u_base.u_gpio_pads[18].u_cell.u_pad
P34,east,12,GPIO,inout,PB4,gpio[19],u_base.u_gpio_pads[19].u_cell.u_pad
P35,east,13,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[2].u_cell.u_pad
P36,east,14,GPIO,inout,PB4,gpio[20],u_base.u_gpio_pads[20].u_cell.u_pad
P37,east,15,GPIO,inout,PB4,gpio[21],u_base.u_gpio_pads[21].u_cell.u_pad
P38,east,16,GPIO,inout,PB4,gpio[22],u_base.u_gpio_pads[22].u_cell.u_pad
P39,east,17,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[2].u_cell.u_pad
P40,east,18,GPIO,inout,PB4,gpio[23],u_base.u_gpio_pads[23].u_cell.u_pad
P41,east,19,GPIO,inout,PB4,gpio[24],u_base.u_gpio_pads[24].u_cell.u_pad
P42,east,20,jtag_tms,input,PB4,jtag_tms_i,u_base.u_jtag_tms_pad.u_pad
P43,east,21,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[2].u_cell.u_pad
P44,east,22,GPIO,inout,PB4,gpio[25],u_base.u_gpio_pads[25].u_cell.u_pad
P45,north,1,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[3].u_cell.u_pad
P46,north,2,jtag_tdi,input,PB4,jtag_tdi_i,u_base.u_jtag_tdi_pad.u_pad
P47,north,3,XIN,inout,PXWE1,pll_xin_pad,u_pll_osc_pad.u_pad
P48,north,4,XOUT,inout,PXWE1,pll_xout_pad,u_pll_osc_pad.u_pad
P49,north,5,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[3].u_cell.u_pad
P50,north,6,AVSSIO,ground,PVSS3AP,pll_avssio,u_pll_avssio_pad.u_pad
P51,north,7,AVDDIO,power,PVDD3AP,pll_avddio,u_pll_avddio_pad.u_pad
P52,north,8,GPIO,inout,PB4,gpio[26],u_base.u_gpio_pads[26].u_cell.u_pad
P53,north,9,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[3].u_cell.u_pad
P54,north,10,GPIO,inout,PB4,gpio[27],u_base.u_gpio_pads[27].u_cell.u_pad
P55,north,11,GPIO,inout,PB4,gpio[28],u_base.u_gpio_pads[28].u_cell.u_pad
P56,north,12,GPIO,inout,PB4,gpio[29],u_base.u_gpio_pads[29].u_cell.u_pad
P57,north,13,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[3].u_cell.u_pad
P58,north,14,GPIO,inout,PB4,gpio[30],u_base.u_gpio_pads[30].u_cell.u_pad
P59,north,15,GPIO,inout,PB4,gpio[31],u_base.u_gpio_pads[31].u_cell.u_pad
P60,north,16,GPIO,inout,PB4,gpio[32],u_base.u_gpio_pads[32].u_cell.u_pad
P61,north,17,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[4].u_cell.u_pad
P62,north,18,GPIO,inout,PB4,gpio[33],u_base.u_gpio_pads[33].u_cell.u_pad
P63,north,19,GPIO,inout,PB4,gpio[34],u_base.u_gpio_pads[34].u_cell.u_pad
P64,north,20,jtag_tdo,output,PB4,jtag_tdo_o,u_base.u_jtag_tdo_pad.u_pad
P65,north,21,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[4].u_cell.u_pad
P66,north,22,GPIO,inout,PB4,gpio[35],u_base.u_gpio_pads[35].u_cell.u_pad
P67,west,1,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[4].u_cell.u_pad
P68,west,2,uart_rx,input,PB4,uart_rx_i,u_base.u_uart_rx_pad.u_pad
P69,west,3,GPIO,inout,PB4,gpio[36],u_base.u_gpio_pads[36].u_cell.u_pad
P70,west,4,GPIO,inout,PB4,gpio[37],u_base.u_gpio_pads[37].u_cell.u_pad
P71,west,5,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[4].u_cell.u_pad
P72,west,6,GPIO,inout,PB4,gpio[38],u_base.u_gpio_pads[38].u_cell.u_pad
P73,west,7,GPIO,inout,PB4,gpio[39],u_base.u_gpio_pads[39].u_cell.u_pad
P74,west,8,GPIO,inout,PB4,gpio[40],u_base.u_gpio_pads[40].u_cell.u_pad
P75,west,9,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[5].u_cell.u_pad
P76,west,10,GPIO,inout,PB4,gpio[41],u_base.u_gpio_pads[41].u_cell.u_pad
P77,west,11,GPIO,inout,PB4,gpio[42],u_base.u_gpio_pads[42].u_cell.u_pad
P78,west,12,GPIO,inout,PB4,gpio[43],u_base.u_gpio_pads[43].u_cell.u_pad
P79,west,13,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[5].u_cell.u_pad
P80,west,14,GPIO,inout,PB4,gpio[44],u_base.u_gpio_pads[44].u_cell.u_pad
P81,west,15,GPIO,inout,PB4,gpio[45],u_base.u_gpio_pads[45].u_cell.u_pad
